cod_scuola,anno_corso,scuola,regione,nazionale
AGRI00601P,5,0.0,1.3,0.7
AGRI010009,1,13.0,6.2,3.1
AGRI010009,2,7.6,3.3,1.8
AGRI010009,3,6.7,2.7,1.4
AGRI010009,4,4.1,3.0,2.4
AGRI010009,5,0.0,1.3,0.7
AGRI011016,1,15.2,6.2,3.1
AGRI011016,2,5.0,3.3,1.8
AGRI011016,3,0.0,2.7,1.4
AGRI011016,4,1.8,3.0,2.4
AGRI011016,5,0.0,1.3,0.7
AGRI02000X,1,21.1,6.2,3.1
AGRI02000X,2,3.7,3.3,1.8
AGRI02000X,3,5.6,2.7,1.4
AGRI02000X,4,7.2,3.0,2.4
AGRI02000X,5,2.6,1.3,0.7
AGRI020011,1,25.4,6.2,3.1
AGRI020011,2,17.6,3.3,1.8
AGRI020011,3,7.9,2.7,1.4
AGRI020011,4,7.7,3.0,2.4
AGRI020011,5,6.9,1.3,0.7
AGRI040005,1,0.0,6.2,3.1
AGRI040005,2,0.0,3.3,1.8
AGRI040005,3,0.0,2.7,1.4
AGRI040005,4,0.0,3.0,2.4
AGRI040005,5,0.0,1.3,0.7
AGRI040016,1,0.0,6.2,3.1
AGRI040016,2,0.0,3.3,1.8
AGRI040016,3,0.0,2.7,1.4
AGRI040016,4,0.0,3.0,2.4
AGRI040016,5,0.0,1.3,0.7
AGRI040027,1,0.0,6.2,3.1
AGRI040027,2,0.0,3.3,1.8
AGRI040027,3,0.0,2.7,1.4
AGRI040027,4,0.0,3.0,2.4
AGRI040027,5,0.0,1.3,0.7
AGRI090006,1,0.0,6.2,3.1
AGRI090006,2,0.0,3.3,1.8
AGRI090006,3,0.0,2.7,1.4
AGRI090006,4,0.0,3.0,2.4
AGRI090006,5,0.0,1.3,0.7
AGRI090017,1,0.0,6.2,3.1
AGRI090017,2,0.0,3.3,1.8
AGRI090017,3,0.0,2.7,1.4
AGRI090017,4,0.0,3.0,2.4
AGRI090017,5,0.0,1.3,0.7
AGSD01000E,1,0.0,2.6,0.9
AGSD01000E,2,0.0,1.4,0.5
AGSD01000E,3,0.0,1.5,0.5
AGSD01000E,4,0.0,1.6,0.5
AGSD01000E,5,0.0,0.4,0.2
AGTA012016,1,0.0,2.5,1.1
AGTA012016,2,0.0,1.1,0.6
AGTA012016,3,0.0,1.4,0.7
AGTA012016,4,0.0,0.9,0.5
AGTA012016,5,0.0,0.3,0.2
AGTD00301T,1,0.0,2.5,1.1
AGTD00301T,2,0.0,1.1,0.6
AGTD00301T,3,0.0,1.4,0.7
AGTD00301T,4,0.0,0.9,0.5
AGTD00301T,5,0.0,0.3,0.2
AGTD00302V,1,0.0,2.5,1.1
AGTD00302V,2,2.5,1.1,0.6
AGTD00302V,3,0.0,1.4,0.7
AGTD00302V,4,5.4,0.9,0.5
AGTD00302V,5,0.0,0.3,0.2
AGTD006019,1,5.1,2.5,1.1
AGTD006019,2,0.0,1.1,0.6
AGTD006019,3,0.0,1.4,0.7
AGTD006019,4,0.0,0.9,0.5
AGTD006019,5,0.0,0.3,0.2
AGTD01301C,1,0.0,2.5,1.1
AGTD01301C,2,0.0,1.1,0.6
AGTD01301C,3,0.0,1.4,0.7
AGTD01301C,4,0.0,0.9,0.5
AGTD01301C,5,0.0,0.3,0.2
AGTD01351T,5,,,
AGTD014018,1,0.0,2.5,1.1
AGTD014018,2,0.0,1.1,0.6
AGTD014018,3,0.0,1.4,0.7
AGTD014018,4,0.0,0.9,0.5
